frame_id,raw_bytes,server_ms,cloud_ms,round_trip_ms,count
1,49760,0,0,7688.78055003006,0
2,55450,0,0,273.9037689752877,0
3,56113,0,0,276.5152510255575,0
4,56238,0,0,275.4662720253691,0
5,56241,0,0,273.3372589573264,0
6,56204,0,0,272.24103594198823,0
7,56208,0,0,272.1441090106964,0
8,56220,0,0,271.7463250737637,0
9,66337,0,0,269.7195380460471,0
10,66416,0,0,273.43520999420434,0
11,66443,0,0,288.8919200049713,0
12,66427,0,0,286.8382870219648,0
13,67340,0,0,280.94471408985555,0
14,67430,0,0,281.9369350327179,0
15,67404,0,0,293.65241702180356,0
16,67441,0,0,273.1459540082142,0
17,64984,0,0,274.6997579233721,0
18,65307,0,0,273.5278350301087,0
19,65464,0,0,278.635011985898,0
20,65418,0,0,271.64878707844764,0
21,65422,0,0,273.6827100161463,0
22,65390,0,0,269.49195202905685,0
23,65450,0,0,270.43835108634084,0
24,65441,0,0,272.08973094820976,0
25,63279,0,0,271.30140201188624,0
26,63401,0,0,279.62791093159467,0
27,63491,0,0,273.8390729064122,0
28,63476,0,0,270.0481310021132,0
29,63435,0,0,282.5539679033682,0
30,63428,0,0,273.8731090212241,0
31,63435,0,0,275.2005649963394,0
32,63428,0,0,268.76115798950195,0
33,62157,0,0,271.662452025339,0
34,62206,0,0,270.85178601555526,0
35,62261,0,0,265.6602560309693,0
36,62258,0,0,263.79783905576915,0
37,62022,0,0,272.04637695103884,0
38,62168,0,0,270.4890010645613,0
39,62275,0,0,270.34212998114526,0
40,62193,0,0,278.89949490781873,0
41,37343,0,0,273.6442759633064,0
42,37263,0,0,274.4611910311505,0
43,37289,0,0,280.73189593851566,0
44,37279,0,0,277.73327904287726,0
45,37274,0,0,272.32330001425,0
46,37278,0,0,269.2595348926261,0
47,37281,0,0,268.28792493324727,0
48,37272,0,0,268.5336290160194,0
49,77401,0,0,270.2922320459038,0
50,77529,0,0,271.6495369095355,0
